x,y,z,T,solid
0.061347916,0.071475218,0.0,307.09612,1.0
0.061347916,0.071899325,0.0,307.09614,1.0
0.061347916,0.072323431,0.0,307.09617,1.0
0.061347916,0.072747538,0.0,307.0962,1.0
0.061347916,0.073171645,0.0,307.09624,1.0
0.061347916,0.073595751,0.0,307.09628,1.0
0.061773509,0.070202898,0.0,307.0961,1.0
0.061773509,0.070627005,0.0,307.09611,1.0
0.061773509,0.071051112,0.0,307.09612,1.0
0.061773509,0.071475218,0.0,307.09614,1.0
0.061773509,0.071899325,0.0,307.09616,1.0
0.061773509,0.072323431,0.0,307.09618,1.0
0.061773509,0.072747538,0.0,307.09621,1.0
0.061773509,0.073171645,0.0,307.09625,1.0
0.061773509,0.073595751,0.0,307.09629,1.0
0.062199103,0.070202898,0.0,307.09612,1.0
0.062199103,0.070627005,0.0,307.09612,1.0
0.062199103,0.071051112,0.0,307.09613,1.0
0.062199103,0.071475218,0.0,307.09615,1.0
0.062199103,0.071899325,0.0,307.09617,1.0
0.062199103,0.072323431,0.0,307.0962,1.0
0.062199103,0.072747538,0.0,307.09623,1.0
0.062199103,0.073171645,0.0,307.09626,1.0
0.062199103,0.073595751,0.0,307.0963,1.0
0.062624697,0.070202898,0.0,307.09614,1.0
0.062624697,0.070627005,0.0,307.09614,1.0
0.062624697,0.071051112,0.0,307.09615,1.0
0.062624697,0.071475218,0.0,307.09617,1.0
0.062624697,0.071899325,0.0,307.09619,1.0
0.062624697,0.072323431,0.0,307.09621,1.0
0.062624697,0.072747538,0.0,307.09625,1.0
0.062624697,0.073171645,0.0,307.09628,1.0
0.062624697,0.073595751,0.0,307.09632,1.0
0.063050291,0.070202898,0.0,307.09615,1.0
0.063050291,0.070627005,0.0,307.09616,1.0
0.063050291,0.071051112,0.0,307.09617,1.0
0.063050291,0.071475218,0.0,307.09619,1.0
0.063050291,0.071899325,0.0,307.09621,1.0
0.063050291,0.072323431,0.0,307.09623,1.0
0.063050291,0.072747538,0.0,307.09626,1.0
0.063050291,0.073171645,0.0,307.0963,1.0
0.063050291,0.073595751,0.0,307.09634,1.0
0.063475884,0.070202898,0.0,307.09617,1.0
0.063475884,0.070627005,0.0,307.09618,1.0
0.063475884,0.071051112,0.0,307.09619,1.0
0.063475884,0.071475218,0.0,307.09621,1.0
0.063475884,0.071899325,0.0,307.09623,1.0
0.063475884,0.072323431,0.0,307.09625,1.0
0.063475884,0.072747538,0.0,307.09628,1.0
0.063475884,0.073171645,0.0,307.09632,1.0
0.063475884,0.073595751,0.0,307.09636,1.0
0.063901478,0.070202898,0.0,307.09619,1.0
0.063901478,0.070627005,0.0,307.0962,1.0
0.063901478,0.071051112,0.0,307.09621,1.0
0.063901478,0.071475218,0.0,307.09623,1.0
0.063901478,0.071899325,0.0,307.09625,1.0
0.063901478,0.072323431,0.0,307.09627,1.0
0.063901478,0.072747538,0.0,307.0963,1.0
0.063901478,0.073171645,0.0,307.09634,1.0
0.063901478,0.073595751,0.0,307.09638,1.0
0.064327072,0.070202898,0.0,307.09622,1.0
0.064327072,0.070627005,0.0,307.09622,1.0
0.064327072,0.071051112,0.0,307.09623,1.0
0.064327072,0.071475218,0.0,307.09625,1.0
0.064327072,0.071899325,0.0,307.09627,1.0
0.064327072,0.072323431,0.0,307.0963,1.0
0.064327072,0.072747538,0.0,307.09633,1.0
0.064327072,0.073171645,0.0,307.09636,1.0
0.064327072,0.073595751,0.0,307.0964,1.0
0.064752666,0.070202898,0.0,307.09624,1.0
0.064752666,0.070627005,0.0,307.09625,1.0
0.064752666,0.071051112,0.0,307.09626,1.0
0.064752666,0.071475218,0.0,307.09627,1.0
0.064752666,0.071899325,0.0,307.09629,1.0
0.064752666,0.072323431,0.0,307.09632,1.0
0.064752666,0.072747538,0.0,307.09635,1.0
0.064752666,0.073171645,0.0,307.09639,1.0
0.064752666,0.073595751,0.0,307.09643,1.0
0.065178259,0.070202898,0.0,307.09627,1.0
0.065178259,0.070627005,0.0,307.09627,1.0
0.065178259,0.071051112,0.0,307.09628,1.0
0.065178259,0.071475218,0.0,307.0963,1.0
0.065178259,0.071899325,0.0,307.09632,1.0
0.065178259,0.072323431,0.0,307.09634,1.0
0.065178259,0.072747538,0.0,307.09638,1.0
0.065178259,0.073171645,0.0,307.09641,1.0
0.065178259,0.073595751,0.0,307.09645,1.0
0.065603853,0.070202898,0.0,307.09629,1.0
0.065603853,0.070627005,0.0,307.0963,1.0
0.065603853,0.071051112,0.0,307.09631,1.0
0.065603853,0.071475218,0.0,307.09632,1.0
0.065603853,0.071899325,0.0,307.09634,1.0
0.065603853,0.072323431,0.0,307.09637,1.0
0.065603853,0.072747538,0.0,307.0964,1.0
0.065603853,0.073171645,0.0,307.09644,1.0
0.065603853,0.073595751,0.0,307.09648,1.0
0.066029447,0.070202898,0.0,307.09632,1.0
0.066029447,0.070627005,0.0,307.09632,1.0
0.066029447,0.071051112,0.0,307.09633,1.0
0.066029447,0.071475218,0.0,307.09635,1.0
0.066029447,0.071899325,0.0,307.09637,1.0
0.066029447,0.072323431,0.0,307.0964,1.0
0.066029447,0.072747538,0.0,307.09643,1.0
0.066029447,0.073171645,0.0,307.09646,1.0
0.066029447,0.073595751,0.0,307.0965,1.0
0.066455041,0.070202898,0.0,307.09634,1.0
0.066455041,0.070627005,0.0,307.09635,1.0
0.066455041,0.071051112,0.0,307.09636,1.0
0.066455041,0.071475218,0.0,307.09638,1.0
